stratum,va_type,level,experiment,null_model,n_simulations,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_sd,null_p2_5,null_p50,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
va_type,adult,level2,EXP4,uniform_codes,1000,2453,2451,0.8334019426499296,0.406620910298623,0.007563778058568272,0.39122777066723124,0.40673796958727104,0.421840612713924,0.4267810323513066,1.0,0.000999000999000999
va_type,adult,level2,EXP4,overall_physician_prior,1000,2453,2451,0.8334019426499296,0.8350631780949015,0.009034221461454004,0.8174046216113142,0.8353630006196492,0.8513087967890057,-0.0016612354449718758,0.433,0.5674325674325674
va_type,adult,level2,EXP4,stratum_physician_prior,1000,2453,2451,0.8334019426499296,0.9682906304514654,0.005968575563381892,0.9559012102128305,0.9685631193580141,0.9792748598467982,-0.13488868780153573,0.0,1.0
va_type,adult,level3,EXP1,uniform_codes,1000,2453,2453,0.7354260089686099,0.5324873572593801,0.008196747331687107,0.5171288743882545,0.5322185970636215,0.5489396411092986,0.20293865170922976,1.0,0.000999000999000999
va_type,adult,level3,EXP1,overall_physician_prior,1000,2453,2453,0.7354260089686099,0.8281039967373572,0.008971171525457294,0.8103486949429037,0.8278955954323002,0.8450244698205547,-0.09267798776874736,0.0,1.0
va_type,adult,level3,EXP1,stratum_physician_prior,1000,2453,2453,0.7354260089686099,0.9509441272430669,0.006002153936877127,0.9384176182707994,0.9510603588907015,0.9620717781402937,-0.215518118274457,0.0,1.0
va_type,adult,level3,EXP2,uniform_codes,1000,2453,2447,0.7295202941578754,0.5325700526529472,0.008116635566405243,0.516106498552344,0.5327345932796492,0.5479990105072564,0.19695024150492824,1.0,0.000999000999000999
va_type,adult,level3,EXP2,overall_physician_prior,1000,2453,2447,0.7295202941578754,0.8282254708465471,0.008997155388575349,0.8098294279175285,0.8279002620647449,0.8461262242410221,-0.09870517668867163,0.0,1.0
va_type,adult,level3,EXP2,stratum_physician_prior,1000,2453,2447,0.7295202941578754,0.9508858128373725,0.006176486683048573,0.9380713208103141,0.9514431894166109,0.9620304242768886,-0.22136551867949705,0.0,1.0
va_type,adult,level3,EXP3,uniform_codes,1000,2453,2289,0.6796291022645571,0.53182577323849,0.008176952262282346,0.5165293557670312,0.5315989230000634,0.5469255979551825,0.14780332902606708,1.0,0.000999000999000999
va_type,adult,level3,EXP3,overall_physician_prior,1000,2453,2289,0.6796291022645571,0.8282013283260533,0.009330265684651744,0.810592578022274,0.8281714020597838,0.8459876817063237,-0.14857222606149623,0.0,1.0
va_type,adult,level3,EXP3,stratum_physician_prior,1000,2453,2289,0.6796291022645571,0.9490565644115377,0.006020315876080026,0.936613013547308,0.9494391931907834,0.9605677678976765,-0.26942746214698066,0.0,1.0
va_type,adult,level3,EXP4,uniform_codes,1000,2453,2451,0.7170293978863007,0.5320471825262919,0.008080155769856476,0.5168712848502759,0.531618748681332,0.5479181933265579,0.1849822153600088,1.0,0.000999000999000999
va_type,adult,level3,EXP4,overall_physician_prior,1000,2453,2451,0.7170293978863007,0.8284565561681053,0.008984450768292842,0.8108028159428884,0.8288080971045544,0.8467668421784763,-0.1114271582818046,0.0,1.0
va_type,adult,level3,EXP4,stratum_physician_prior,1000,2453,2451,0.7170293978863007,0.9511459723134613,0.005596470974970636,0.939689637947823,0.9513139425064046,0.961762768866854,-0.2341165744271606,0.0,1.0
